test_name_normalized,plain_language_summary,why_it_matters,common_reasons_high,common_reasons_low,when_to_contact_clinician,citation_url,source_id
Hemoglobin A1c,A1c reflects your average blood sugar over about the past 2–3 months.,It helps monitor diabetes and long-term blood sugar control.,Diabetes or prediabetes; certain conditions can also affect results.,May be seen with conditions that shorten red blood cell lifespan.,Contact your clinician if levels are persistently above target or if you have symptoms of high/low blood sugar.,https://medlineplus.gov/lab-tests/hemoglobin-a1c-hba1c-test/,S01
"Glucose, fasting","Glucose, fasting is a common lab test. Results are interpreted in the context of your symptoms and other labs.",It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
"Glucose, random","Glucose, random is a common lab test. Results are interpreted in the context of your symptoms and other labs.",It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Creatinine,Creatinine is commonly used to assess kidney function.,"Kidneys filter waste; changes can reflect hydration, medications, or kidney disease.","Dehydration, certain medications, or kidney function changes.",Often not concerning; can relate to low muscle mass or other factors.,"Seek care promptly if you have reduced urination, swelling, severe weakness, or rapid worsening values.",https://medlineplus.gov/kidneytests.html,S01
eGFR,eGFR is commonly used to assess kidney function.,"Kidneys filter waste; changes can reflect hydration, medications, or kidney disease.","Dehydration, certain medications, or kidney function changes.",Often not concerning; can relate to low muscle mass or other factors.,"Seek care promptly if you have reduced urination, swelling, severe weakness, or rapid worsening values.",https://medlineplus.gov/kidneytests.html,S01
BUN,BUN is commonly used to assess kidney function.,"Kidneys filter waste; changes can reflect hydration, medications, or kidney disease.","Dehydration, certain medications, or kidney function changes.",Often not concerning; can relate to low muscle mass or other factors.,"Seek care promptly if you have reduced urination, swelling, severe weakness, or rapid worsening values.",https://medlineplus.gov/kidneytests.html,S01
Sodium,Sodium is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Potassium,Potassium is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Chloride,Chloride is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
CO2 (Bicarbonate),CO2 (Bicarbonate) is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
Calcium,Calcium is a common lab test. Results are interpreted in the context of your symptoms and other labs.,It can help monitor overall health and specific organs depending on the test.,"May reflect many causes including dehydration, diet, medications, or organ function changes.","May reflect nutritional status, hydration, or other conditions depending on the test.",Contact your clinician if you have concerning symptoms or repeated abnormal results.,https://medlineplus.gov/lab-tests/,S01
