med_name_normalized,drug_class,what_it_is_for,common_side_effects,serious_side_effects_red_flags,interaction_warnings_general,citation_url,source_id
Metformin,Prescription medication,Type 2 diabetes,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Lisinopril,Prescription medication,Hypertension,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Amlodipine,Prescription medication,Hypertension,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Atorvastatin,Statin,Hyperlipidemia,"Muscle aches, mild stomach upset.","Severe muscle pain/weakness, dark urine, yellowing of skin/eyes.",Some statins interact with grapefruit and certain antibiotics/antifungals.,https://medlineplus.gov/druginfo/meds/a600045.html,S01
Simvastatin,Statin,Hyperlipidemia,"Muscle aches, mild stomach upset.","Severe muscle pain/weakness, dark urine, yellowing of skin/eyes.",Some statins interact with grapefruit and certain antibiotics/antifungals.,https://medlineplus.gov/druginfo/meds/a600045.html,S01
Levothyroxine,Prescription medication,Hypothyroidism,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Omeprazole,Prescription medication,GERD,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Albuterol inhaler,Prescription medication,Asthma,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Sertraline,Prescription medication,Depression/anxiety,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Fluoxetine,Prescription medication,Depression,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Hydrochlorothiazide,Prescription medication,Hypertension,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Losartan,Prescription medication,Hypertension,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
Gabapentin,Prescription medication,Neuropathic pain,"Nausea, dizziness, or headache (varies by medication).","Trouble breathing, facial swelling, severe rash, fainting.",Tell your clinician about all medicines and supplements; interactions vary by drug.,https://medlineplus.gov/druginformation.html,S01
