id,region,price,year,manufacturer,model,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,description,state,lat,long,posting_date
7316853962,fresno / madera,19999,2012,chevrolet,silverado 1500,8 cylinders,gas,141020,clean,automatic,4wd,truck,black,"2012 Chevrolet Silverado 1500 LT Pickup 4D 6 1/2 ft -- $19,999       ☎ Call: (559) 949-4075  ext 10031  📱 Text  10031 to  (559) 949-4075 Vehicle Information: 2012 Chevrolet Silverado 1500 LT Pickup 4D 6 1/2 ftPrice:  $19,999    Year:  2012*      Make:  *Chevrolet**      Model:  *Silverado 1500**      Series:  *LT Pickup 4D 6 1/2 ft**      Body Style:  Truck*    Stock Number:  13716    VIN:  1GCRKSE79CZ268712    Mileage:  141k    Engine:  V8, Flex Fuel, 5.3 Liter    Transmission:  Automatic, 6-Spd HD w/Overdrive    Exterior Color:  Teal*    Interior Color:  No Color*Our friendly staff looks forward to helping you find the car, truck, van, or SUV you've been looking for. We know your time is valuable. Our job is to gather all the information required to get you the vehicle and financing you deserve, and then we go to work for you! Stop by and check out a great selection!   Own a Car of Fresno 4030 N. Blackstone Fresno, CA 93726   (559) 949-4075 To get started, just complete our secure online credit application. We'll help you get pre-approved, making it even easier for you to shop for your next vehicle. Copy and Paste this link:http://aswt.co/db1wm             For more details, pictures and information on this ***Chevrolet**** ***Silverado 1500**** ***LT Pickup 4D 6 1/2 ft****, Paste the link below into your browser:                http://aswt.co/db1wp                 Vehicle Options For This *Chevrolet** *Silverado 1500**:                             ✅ Truck*                ✅ ABS (4-Wheel)                ✅ Air Conditioning                ✅ Anti-Theft System                ✅ Bed Liner                ✅ Cruise Control                ✅ Daytime Running Lights                ✅ Dual Air Bags                ✅ Head Curtain Air Bags                ✅ Hill Start Assist Control                ✅ Keyless Entry                ✅ Keyless Start                ✅ OnStar                ✅ Power Door Locks                ✅ Power Seat                ✅ Power Steering                ✅ Power Windows                ✅ Premium Sound                ✅ Premium Wheels                ✅ Side Air Bags                ✅ SiriusXM Satellite                ✅ StabiliTrak                ✅ Tilt Wheel                ✅ Towing Pkg                ✅ Traction Control                ✅ Z71 Off-Road Pkg                                                        ☎ Call (559) 949-4075  ext 10031   or 📱 Text  10031 to  (559) 949-4075  to find out more about this ***Chevrolet**** ***Silverado 1500****.                -or-                          Paste the link below into your browser to get more detailed information about this ____Chevrolet*____Silverado 1500*____LT Pickup 4D 6 1/2 ft*:                        http://aswt.co/db1wp                                     Call  or Text  us today and mention that you heard about this vehicle on Craigslist!                         Own A Car Fresno            ☎ Phone Number: (559) 949-4075  ext 10031              📱  Text Number:  Text 10031 to  (559) 949-4075              Additional Vehicle Information:                                     Here at Own A Car we work hard to give you the best car buying experience possible. This means from your initial contact with us either on the lot or online, you will be met by pure professionalism. While we are here to offer you guidance and share vehicle knowledge with you, we are ultimately here to work for you. We strive to offer a very competitive pricing model along with some of the best financing options in the business. As a customer you can rest assured knowing that we have the financial network needed to get you the best deal on your next vehicle. We are very responsive online if you have some basic questions and have a very well rounded staff ready to tackle your more in-depth situations. We share a very hospitable mentality and are ready to work for you.. While it is not required, having an appointment will help us prepare to give you the undivided attention you deserve.. . Please feel free to contact us day or night. www.ownacar.net or by phone at(559) 949-4075 . . or visit us in person at 4030 N Blackstone Ave Fresno, Ca 93726                                                             2012, 12, '12, Chevrolet, Chevy, Silverado 1500, Silverado1500, Silverado-1500, LT Pickup 4D 6 1/2 ft, Truck, Pickup Truck, Own A Car Fresno, *Own* *A* *Car* *Fresno*, ~as5203_cl60~Powered by AutoSweet | www.autosweet.com",ca,36.790784,-119.789897,04-05-2021
7316834478,fresno / madera,19999,2010,chevrolet,silverado 1500,8 cylinders,gas,140616,clean,automatic,rwd,truck,silver,"2010 Chevrolet Silverado 1500 LTZ Pickup 4D 5 3/4 ft -- $19,999       ☎ Call: (559) 949-4203  ext 10120  📱 Text  10120 to  (559) 949-4203 Vehicle Information: 2010 Chevrolet Silverado 1500 LTZ Pickup 4D 5 3/4 ftPrice:  $19,999    Year:  2010*      Make:  *Chevrolet**      Model:  *Silverado 1500**      Series:  *LTZ Pickup 4D 5 3/4 ft**      Body Style:  Truck*    Stock Number:  2398    VIN:  3GCRCTE06AG106524    Mileage:  140,616    Engine:  V8, Flex Fuel, 5.3 Liter    Transmission:  Automatic, 6-Spd HD    Exterior Color:  Silver*    Interior Color:  Frozen Grey*Drive Your Dream Car Today!  Are you shopping for a quality used car near Fresno, California? Then begin your used car search at Auto City. We proudly serve used car buyers from Merced, Fresno, Visalia, Bakersfield and beyond with a strong selection of quality pre-owned and used cars, trucks, and SUVs from a variety of today's top automakers. Whether you have a particular vehicle in mind or you are shopping for a vehicle that fits your needs and budget, we encourage you to shop our online inventory frequently. Or, stop by our Fresno, CA used car lot and take a closer look at the vehicle of your choice!To get started, just complete our secure online credit application. We'll help you get pre-approved, making it even easier for you to shop for your next vehicle. Copy and Paste this linkhttp://aswt.co/db1uw             For more details, pictures and information on this ***Chevrolet**** ***Silverado 1500**** ***LTZ Pickup 4D 5 3/4 ft****, Paste the link below into your browser:                http://aswt.co/db1uy                 Vehicle Options For This *Chevrolet** *Silverado 1500**:                             ✅ Truck*                ✅ ABS (4-Wheel)                ✅ AM/FM Stereo                ✅ Air Conditioning                ✅ Alloy Wheels                ✅ Anti-Theft System                ✅ Backup Camera                ✅ Bed Liner                ✅ Bluetooth Wireless                ✅ CD/MP3 (Single Disc)                ✅ Cruise Control                ✅ Daytime Running Lights                ✅ Dual Air Bags                ✅ Dual Power Seats                ✅ Fog Lights                ✅ Head Curtain Air Bags                ✅ Heated Seats                ✅ Keyless Entry                ✅ Keyless Start                ✅ LTZ                ✅ Leather                ✅ Moon Roof                ✅ OnStar                ✅ Power Door Locks                ✅ Power Steering                ✅ Power Windows                ✅ Premium Sound                ✅ Running Boards                ✅ Side Air Bags                ✅ StabiliTrak                ✅ Tilt Wheel                ✅ Towing Pkg                ✅ Traction Control                ✅ XM Satellite                ✅ Z71 Off-Road Pkg                                                        ☎ Call (559) 949-4203  ext 10120   or 📱 Text  10120 to  (559) 949-4203  to find out more about this ***Chevrolet**** ***Silverado 1500****.                -or-                          Paste the link below into your browser to get more detailed information about this ____Chevrolet*____Silverado 1500*____LTZ Pickup 4D 5 3/4 ft*:                        http://aswt.co/db1uy                                     Call  or Text  us today and mention that you heard about this vehicle on Craigslist!                         Auto City Fresno            ☎ Phone Number: (559) 949-4203  ext 10120              📱  Text Number:  Text 10120 to  (559) 949-4203              Additional Vehicle Information:                                     VEHICLE PRICES ARE SUBJECT TO CHANGE, TAX AND LICENSE FEES NOT INCLUDED IN PRICE.                                                             2010, 10, '10, Chevrolet, Chevy, Silverado 1500, Silverado1500, Silverado-1500, LTZ Pickup 4D 5 3/4 ft, Truck, Pickup Truck, Auto City Fresno, *Auto* *City* *Fresno*, ~as4204_cl60~Powered by AutoSweet | www.autosweet.com",ca,36.774617,-119.791164,04-05-2021
7316774813,fresno / madera,23995,2013,ford,f-150,8 cylinders,gas,98607,clean,automatic,4wd,pickup,white,"Economy Auto Sales 3049 Atchison St, Riverbank, CA 95367Get Pre-approved! ECONOMYAUTOSALESCA.COM2013 Ford F-150 XL 4x4 4dr SuperCrew Styleside 6.5 ft. SB Pickup 98,607 miles Power Steering / Traction Control / Power Door Locks / Tire Pressure Monitoring System CREW CAB, 4X4!!!!!!!!!!!!!!!!!!!  Call(209) 666-3221 for quick answers to your questions about this Ford F-150 XL 4x4 4dr SuperCrew Styleside 6.5 ft. SB.***** Ford F-150 XL 4x4 4dr SuperCrew Styleside 6.5 ft. SB Pickup *****Disclaimer :  *All prices plus government fees and taxes, any finance charges, dealer document processing charge, any electronic filing charge, and any emission testing charge. See dealer for details. Please mention Craigslist when calling about offer.  *Call ☏ (209) 666-3221Economy Auto Sales 3049 Atchison St, Riverbank, CA 95367MONDAY THRU SATURDAY 9 AM TO 6 PM. SUNDAY CALL FOR AN APPOINTMENT.",ca,37.738239,-120.939159,04-05-2021
7316749411,fresno / madera,10700,2011,honda,civic,4 cylinders,gas,171457,clean,automatic,fwd,coupe,silver,"2011 Honda Civic EX Coupe! Silver, automatic, 4 cyl, moonroof, all power options! looks and runs really good! Please call or text me @ 559-696-9474 thank you Maxx",ca,36.769967,-119.700165,04-05-2021
7316585031,fresno / madera,19000,2008,jeep,wrangler,6 cylinders,gas,146000,clean,automatic,4wd,SUV,black,"Jeep Sahara Wrangler 2008. 146k miles 4X4. Very good condition I’ve done a good amount of upgrades. Just installed new shocks. Heating/ AC. Also comes with the stock grille, car cover, and mesh for the top with bungees if you decide to take the top off. The mesh goes all the way from the front to the back giving off tons of shade while you drive.￼",ca,36.641,-119.905,03-05-2021
7316582286,fresno / madera,11000,2007,ford,f-150,8 cylinders,gas,143239,clean,automatic,4wd,truck,white,"Selling an '07 Ford F-150 in great shape.  4 wheel drive, 4 door with the 5-1/2 foot bed.  Has the 5.4L Triton engine with a new timing chain, etc.  The truck also has a new transmission (1 year old).  Factory installed DVD player with 2 displays in the headrests.  Also has a factory custom exhaust and tow package.  Motorized running boards included.  Truck has 143K miles.  A/C works perfectly.  Factory 20"" rims.  Fully smog legal with a new cat. converter.  Truck also has a factory tow package and would make a great work truck as well.  The bed has a rhino-lined coating.  This is my son's daily driver, but he is moving out of state (I swear), and he wants to get something a little more economical.  Kelly blue book lists this truck at $11,900.  We are asking for $11,000.  Mike in Fresno,  show contact info   NO shipping or sales agents and NO verification codes.",ca,36.728387,-119.671497,03-05-2021
7316549183,fresno / madera,14995,2015,honda,civic,4 cylinders,gas,87883,clean,automatic,fwd,sedan,silver,"Additional Optional Equipments Hide       Safety  	 Driver Air Bag  	 Passenger Air Bag  	 Side Air Bag  	 Alarm  	 Power Door Locks  	 Traction Control  	 Fog Lamps  	 Vehicle Anti-Theft System  	 Tire Pressure Monitoring  	 Electronic Stability Control    Comfort  	 Air Conditioning  	 Cruise Control  	 Keyless Entry  	 Power Driver Mirror  	 Power Steering  	 Tilt Wheel  	 Steering wheel controls  	 Backup Camera    Sound System  	 AM/FM Stereo  	 CD Player  	 MP3 Player    Windows  	 Rear Window Defroster  	 Power Windows    Seat  	 Child Safety Lock  	 Bucket Seats     Add Custom Optional Equipment         Standard Equipment    MECHANICAL  Engine: 1.8L I-4 SOHC 16-Valve i-VTEC  Transmission: Continuously Variable (CVT)  Front-Wheel Drive  45-Amp/Hr 410CCA Maintenance-Free Battery  Gas-Pressurized Shock Absorbers  Front And Rear Anti-Roll Bars  Electric Power-Assist Speed-Sensing Steering  13.2 Gal. Fuel Tank  Single Stainless Steel Exhaust  Strut Front Suspension w/Coil Springs  Multi-Link Rear Suspension w/Coil Springs  Front Disc/Rear Drum Brakes w/4-Wheel ABS, Front Vented Discs and Brake Assist EXTERIOR  Wheels: 15"" w/Full Covers  Tires: P195/65R15 89H AS  Steel Spare Wheel  Compact Spare Tire Mounted Inside Under Cargo  Clearcoat Paint  Body-Colored Front Bumper  Body-Colored Rear Bumper  Black Side Windows Trim  Body-Colored Door Handles  Body-Colored Power Side Mirrors w/Convex Spotter and Manual Folding  Fixed Rear Window w/Defroster  Light Tinted Glass  Fixed Interval Wipers  Fully Galvanized Steel Panels  Grille w/Chrome Bar  Trunk Rear Cargo Access  Auto Off Aero-Composite Halogen Daytime Running Headlamps w/Delay-Off ENTERTAINMENT  Radio: 160-Watt AM/FM/CD Audio System -inc: 4 speakers, Pandora compatibility, Bluetooth streaming audio, center console USB audio interface, MP3/auxiliary input jack, MP3/Windows Media Audio (WMA) playback capability, Radio Data System (RDS) and Speed-Sensitive Volume Control (SVC)  Radio w/Seek-Scan, Clock and Steering Wheel Controls  Audio Theft Deterrent  Window Grid Antenna  Bluetooth Handsfreelink Wireless Phone Connectivity  1 LCD Monitor In The Front INTERIOR  Reclining Front Bucket Seats -inc: driver's seat w/manual height adjustment and adjustable head restraints  6-Way Driver Seat -inc: Manual Fore/Aft Movement  4-Way Passenger Seat -inc: Manual Fore/Aft Movement  Full Folding Bench Front Facing Fold Forward Seatback Rear Seat  Manual Tilt/Telescoping Steering Column  Gauges -inc: Speedometer, Odometer, Tachometer, Trip Odometer and Trip Computer  Power Rear Windows  Front Cupholder  Rear Cupholder  Valet Function  Remote Keyless Entry w/Integrated Key Transmitter, Illuminated Entry and Panic Button  Remote Releases -Inc: Mechanical Cargo Access and Mechanical Fuel  Cruise Control w/Steering Wheel Controls  Manual Air Conditioning  HVAC -inc: Underseat Ducts  Glove Box  Driver Foot Rest  Interior Trim -inc: Metal-Look Instrument Panel Insert, Metal-Look Door Panel Insert and Metal-Look Interior Accents  Full Cloth Headliner  Metal-Look Gear Shift Knob  Cloth Seat Trim  Day-Night Rearview Mirror  Driver And Passenger Visor Vanity Mirrors  Full Floor Console w/Covered Storage and 1 12V DC Power Outlet  Front Map Lights  Fade-To-Off Interior Lighting  Full Carpet Floor Covering -inc: Carpet Front And Rear Floor Mats  Carpet Floor Trim and Carpet Trunk Lid/Rear Cargo Door Trim  Cargo Space Lights  FOB Controls -inc: Trunk/Hatch/Tailgate  Instrument Panel Bin, Driver / Passenger And Rear Door Bins  Power 1st Row Windows w/Driver 1-Touch Up/Down  Delayed Accessory Power  Power Door Locks w/Autolock Feature  Systems Monitor  Trip Computer  Outside Temp Gauge  Digital/Analog Display  Seats w/Cloth Back Material  Manual Adjustable Rear Head Restraints  Sliding Front Center Armrest  Perimeter Alarm  Engine Immobilizer  1 12V DC Power Outlet  Air Filtration SAFETY  VSA Electronic Stability Control (ESC)  ABS And Driveline Traction Control  Side Impact Beams  Dual Stage Driver And Passenger Seat-Mounted Side Airbags  Low Tire Pressure Warning  Dual Stage Driver And Passenger Front Airbags  Curtain 1st And 2nd Row Airbags  Airbag Occupancy Sensor  Rear Child Safety Locks  Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3 Point, Height Adjusters and Pretensioners  Back-Up Camera www.autoplazafresno.com",ca,36.825256,-119.789993,03-05-2021
7316525291,fresno / madera,11000,1995,toyota,tacoma,6 cylinders,gas,147600,clean,manual,4wd,truck,brown,"Truck runs strong, off-road bumper. With mud terrain tires. Some scratches and dings here and there. AC was broken when I purchased it but I had it fixed so it works great! Just got serviced oil change, tire rotation ext. Bilstein 3inc lift kit. Only real downside is the odometer is broken since I got it. I’ve put about 4-5k miles on it in the last year never had any problems at all. Only reason that I’m selling is because I’m moving out of state and it’s just easier to sell. Good truck for someone to beat up off roading or going camping. Small truck so it fits everywhere. Has the 6ft bed with spray bed liner that’s a bit worn down.",ca,37.4076,-119.7233,03-05-2021
7316501960,fresno / madera,25999,2018,honda,accord,4 cylinders,gas,34786,clean,automatic,fwd,sedan,black,"2018 Honda Accord Sport Sedan 4D -- $25,999       ☎ Call: (559) 949-4203  ext 10118  📱 Text  10118 to  (559) 949-4203 Vehicle Information: 2018 Honda Accord Sport Sedan 4DPrice:  $25,999    Year:  2018*      Make:  *Honda**      Model:  *Accord**      Series:  *Sport Sedan 4D**      Body Style:  Sedan*    Stock Number:  2417    VIN:  1HGCV1F30JA183967    Mileage:  34,786    Engine:  4-Cyl, i-VTEC, Turbo, 1.5 Liter    Transmission:  Auto, 10-Spd    Exterior Color:  Black*    Interior Color:  Black*Drive Your Dream Car Today!  Are you shopping for a quality used car near Fresno, California? Then begin your used car search at Auto City. We proudly serve used car buyers from Merced, Fresno, Visalia, Bakersfield and beyond with a strong selection of quality pre-owned and used cars, trucks, and SUVs from a variety of today's top automakers. Whether you have a particular vehicle in mind or you are shopping for a vehicle that fits your needs and budget, we encourage you to shop our online inventory frequently. Or, stop by our Fresno, CA used car lot and take a closer look at the vehicle of your choice!To get started, just complete our secure online credit application. We'll help you get pre-approved, making it even easier for you to shop for your next vehicle. Copy and Paste this linkhttp://aswt.co/dbyw3             For more details, pictures and information on this ***Honda**** ***Accord**** ***Sport Sedan 4D****, Paste the link below into your browser:                http://aswt.co/dbyw2                 Vehicle Options For This *Honda** *Accord**:                             ✅ Sedan*                ✅ ABS (4-Wheel)                ✅ AM/FM Stereo                ✅ Adaptive Cruise Control                ✅ Air Conditioning                ✅ Alarm System                ✅ Bluetooth Wireless                ✅ CD/MP3 (Single Disc)                ✅ Daytime Running Lights                ✅ Dual Air Bags                ✅ F&R Head Curtain Air Bags                ✅ Fog Lights                ✅ Hill Start Assist Control                ✅ Keyless Entry                ✅ Keyless Start                ✅ LED Headlamps                ✅ Lane Departure Warning                ✅ Multi-View Camera                ✅ Power Door Locks                ✅ Power Seat                ✅ Power Steering                ✅ Power Windows                ✅ Premium Wheels 19+                ✅ Rear Spoiler                ✅ Side Air Bags                ✅ Stability Control                ✅ Tilt & Telescoping Wheel                ✅ Traction Control                                                        ☎ Call (559) 949-4203  ext 10118   or 📱 Text  10118 to  (559) 949-4203  to find out more about this ***Honda**** ***Accord****.                -or-                          Paste the link below into your browser to get more detailed information about this ____Honda*____Accord*____Sport Sedan 4D*:                        http://aswt.co/dbyw2                                     Call  or Text  us today and mention that you heard about this vehicle on Craigslist!                         Auto City Fresno            ☎ Phone Number: (559) 949-4203  ext 10118              📱  Text Number:  Text 10118 to  (559) 949-4203              Additional Vehicle Information:                                     VEHICLE PRICES ARE SUBJECT TO CHANGE, TAX AND LICENSE FEES NOT INCLUDED IN PRICE.                                                             2018, 18, '18, Accord, Sport Sedan 4D, 4 Door Car, Sedan, Auto City Fresno, *Auto* *City* *Fresno*, ~as4204_cl60~Powered by AutoSweet | www.autosweet.com",ca,36.774617,-119.791164,03-05-2021
7316419507,fresno / madera,25990,2012,chevrolet,silverado 1500,8 cylinders,gas,58719,clean,automatic,4wd,pickup,white,"2012 *** Chevrolet Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB Pickup ***    Ready To Upgrade Your Ride Today? We Make It Fast & Easy!Call (or text) ☏ (559) 549-9643  Kingsburg Truck Center 11652 E. Kamm Ave., Kingsburg, CA 93631Copy & Paste the URL belowto view more information!http://kingsburgtruckcenter.v12soft.com/cars/13994673    			Year : 2012				Make : Chevrolet				Model : Silverado 1500				Trim : LS 4x4 4dr Extended Cab 6.5 ft. SB				   Mileage : 58,719 miles				Transmission : Automatic				Exterior Color : White				Interior Color : Black				Series : LS 4x4 4dr Extended Cab 6.5 ft. SB Pickup				Drivetrain : 4WD				Condition : Excellent				VIN : 1GCRKREA4CZ253071				Stock ID : 6527				Engine : 4.8L V8	   	Description of this Chevrolet Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB 	 	KINGSBURGTRUCKCENTER.COM (559)891-7077 FB - @KINGSBURGTRUCKCENTER --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- STOCK ID: 6527 YEAR: 2012 MAKE: Chevy MODEL: Silverado 1500 Ext. Color: White Int. Color: Gray; Cloth MILEAGE: 58,719 ENGINE: 4.8L V8 GVWR: 7,000 LB VIN: 1GCRKREA4CZ253071 --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- At Kingsburg Truck Center we can up-fit any of our trucks to your specifications. Being a dealer for CTEC and Pacific Truck bodies, we can install a utility bed on any one of our - ton or bigger trucks. We have utility beds on the ground for - ton and 1-ton chassis. If you need a ladder rack or hitch for the truck you are looking at, or one of your own service trucks, we fabricate our own racks and hitches in house. We also Fabricate flatbeds and contractor bodies. Visit our website today! Looking for a compressor,crane, liftgate, work light, vice, utility bed parts, or hose reel? Call us today!        Call (or text)  (559) 549-9643 for quick answers to your questions about this Chevrolet Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB.   🚘 Kingsburg Truck Center 🚘 ✅ Specializing in Utility Trucks, Flatbed Trucks, Upfitting, And Much More✅ Custom Fabrications✅ Work and Utility Truck Accessories  ✅ Financing Options Available 📍 Stop By Today And See Why Our Dealership Is Always The People's Choice🚩 CHECK OUT OUR REVIEWS ON FACEBOOK: https://www.facebook.com/kingsburgtruckcenter/💥 Check Out More Of Our Great Cars On Craigslist Just Copy And Paste This Link Into Your Browser 💥 https://fresno.craigslist.org/search/ctd?query=kingsburgtruckcenter.com  ***** Chevrolet Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB Pickup *****  2013, 2014, 2015, 2012, 2011, 2010, 2009, Chevrolet Silverado 1500, Avalanche, Aveo, Cobalt, Colorado, Corvette, Equinox, Express 1500, HHR, Impala, Malibu, Silverado 1500, Silverado 3500, Suburban, Silverado 2500, Silverado 1500 Hybrid, Tahoe, TrailBlazer, Tahoe Hybrid, Traverse, Express 2500, Express 3500, Malibu Hybrid, Camaro, Volt, Cruze, Sonic, Captiva Sport, Spark, SS, Corvette Stingray, Spark EV, Impala Limited, Trax, City Express   Disclaimer : * Please Note All Inventory And Inventory Pricing Is Subject To Change Please See Dealer For Further Details *     Ready To Upgrade Your Ride Today? We Make It Fast & Easy!Call (or text) ☏ (559) 549-9643  Kingsburg Truck Center 11652 E. Kamm Ave., Kingsburg, CA 93631Copy & Paste the URL belowto view more information!http://kingsburgtruckcenter.v12soft.com/cars/13994673   2012 12 *Chevrolet Chev Chevy* *Silverado 1500* *Cheap LS 4x4 4dr Extended Cab 6.5 ft. SB* 		*Like New 2012 LS 4x4 4dr Extended Cab 6.5 ft. SB Pickup* *4.8L V8* 		*Must See 2012 Chevrolet Chev Chevy Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB Flex Fuel - 		2012 Chevrolet Chev Chevy Silverado 1500  silverado 1500 SILVERADO 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB Flex Fuel Pickup Cheap -  		2012 Chevrolet Chev Chevy Silverado 1500 (LS 4x4 4dr Extended Cab 6.5 ft. SB) Carfax Flex Fuel 4.8L V8 -  		2012 Chevrolet Chev Chevy Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB Pickup 4.8L V8 Flex Fuel  -  		Chevrolet Chev Chevy Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB Pickup   		*SCHEDULE YOUR TEST DRIVE 2012 Chevrolet Chev Chevy Silverado 1500  Silverado1500 silverado1500 SILVERADO1500 4.8L V8 LS 4x4 4dr Extended Cab 6.5 ft. SB Flex Fuel Pickup*   		*Chevrolet Chev Chevy* *Silverado 1500* 2012 Chevrolet Chev Chevy Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB Flex Fuel Pickup   		*2012 Chevrolet Chev Chevy Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB  		*Kingsburg Truck Center* *Call (or text) us today at (559) 549-9643.* 		2013 Chevrolet Chev Chevy Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB 4.8L V8 - 		Have you seen this 2014 Chevrolet Chev Chevy Silverado 1500 LS 4x4 4dr Extended Cab 6.5 ft. SB Pickup ?  		Must See 2015 Chevrolet Chev Chevy Silverado 1500  LS 4x4 4dr Extended Cab 6.5 ft. SB Flex Fuel Pickup  		*For Sale Silverado 1500* *Silverado 1500* *Carfax LS 4x4 4dr Extended Cab 6.5 ft. SB Flex Fuel Pickup  		Come test drive this amazing *Chevrolet Chev Chevy* *Silverado 1500* *(LS 4X4 4DR EXTENDED CAB 6.5 FT. SB)* *Flex Fuel* Pickup LS 4x4 4dr Extended Cab 6.5 ft. SB Pickup Flex Fuel Pickup Flex Fuel* 		*(Chevrolet Chev Chevy)* *(Silverado 1500)* *LS 4x4 4dr Extended Cab 6.5 ft. SB* *4.8L V8* *(FLEX FUEL)* *Bad Credit* 		*Flex Fuel* *Pickup*  *Super Vehicle Flex Fuel Call (or text) this number (559) 549-9643* *4.8L V8* *Kingsburg Truck Center* * Good Credit* 		2012 2011 2010 2009  		*This vehicle is a used Chevrolet Chev Chevy Silverado 1500* *No Credit* 		*It is like New LS 4x4 4dr Extended Cab 6.5 ft. SB* *4.8L V8 Flex Fuel*  		*Flex Fuel* 2008 2007 2006 2005 2004 2003",ca,36.533226,-119.576488,03-05-2021
